timeframe,days,volume_ratio_th,volume_reversal_th,signals,buy_signals,sell_signals,num_trades,total_return_pct,final_value,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,volatility
1d,90,0.8,1.2,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.8,1.5,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.8,2.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.9,,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.9,1.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.9,1.2,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.9,1.5,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,0.9,2.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.0,,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.0,1.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.0,1.2,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.0,1.5,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.0,2.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.1,,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.1,1.0,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
1d,90,1.1,1.2,1,1,0,1,-14.970014999999966,4251.499250000002,-2.013840995599095,-14.970014999999966,1.0,0.0004909805579256243,0.3014722991173333
